State,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,,
Georgia,Roy Barnes (Democrat),Roy Barnes (Democrat),Roy Barnes (Democrat),Sonny Perdue (Republican),Sonny Perdue (Republican),Sonny Perdue (Republican),Sonny Perdue (Republican),Sonny Perdue (Republican),Sonny Perdue (Republican),Sonny Perdue (Republican),Sonny Perdue (Republican),Nathan Deal (Republican),Nathan Deal (Republican),Nathan Deal (Republican),Nathan Deal (Republican),Nathan Deal (Republican),Nathan Deal (Republican),Nathan Deal (Republican),Nathan Deal (Republican),Brian Kemp (Republican),Brian Kemp (Republican),Brian Kemp (Republican),Brian Kemp (Republican),,
Pennsylvania,Tom Ridge (Republican),Tom Ridge (Republican),Tom Ridge (Republican),Ed Rendell (Democrat),Ed Rendell (Democrat),Ed Rendell (Democrat),Ed Rendell (Democrat),Ed Rendell (Democrat),Ed Rendell (Democrat),Ed Rendell (Democrat),Ed Rendell (Democrat),Tom Corbett (Republican),Tom Corbett (Republican),Tom Corbett (Republican),Tom Corbett (Republican),Tom Wolf (Democrat),Tom Wolf (Democrat),Tom Wolf (Democrat),Tom Wolf (Democrat),Tom Wolf (Democrat),Tom Wolf (Democrat),Tom Wolf (Democrat),Tom Wolf (Democrat),,
Tennessee,Don Sundquist (Republican),Don Sundquist (Republican),Don Sundquist (Republican),Phil Bredesen (Democrat),Phil Bredesen (Democrat),Phil Bredesen (Democrat),Phil Bredesen (Democrat),Phil Bredesen (Democrat),Phil Bredesen (Democrat),Phil Bredesen (Democrat),Phil Bredesen (Democrat),Bill Haslam (Republican),Bill Haslam (Republican),Bill Haslam (Republican),Bill Haslam (Republican),Bill Haslam (Republican),Bill Haslam (Republican),Bill Haslam (Republican),Bill Haslam (Republican),Bill Lee (Republican),Bill Lee (Republican),Bill Lee (Republican),Bill Lee (Republican),,
Louisiana,Mike Foster (Republican),Mike Foster (Republican),Mike Foster (Republican),Mike Foster (Republican),Kathleen Blanco (Democrat),Kathleen Blanco (Democrat),Kathleen Blanco (Democrat),Kathleen Blanco (Democrat),Bobby Jindal (Republican),Bobby Jindal (Republican),Bobby Jindal (Republican),Bobby Jindal (Republican),Bobby Jindal (Republican),Bobby Jindal (Republican),Bobby Jindal (Republican),John Bel Edwards (Democrat),John Bel Edwards (Democrat),John Bel Edwards (Democrat),John Bel Edwards (Democrat),John Bel Edwards (Democrat),John Bel Edwards (Democrat),John Bel Edwards (Democrat),John Bel Edwards (Democrat),,
Arizona,Jane Dee Hull (Republican),Jane Dee Hull (Republican),Jane Dee Hull (Republican),Janet Napolitano (Democrat),Janet Napolitano (Democrat),Janet Napolitano (Democrat),Janet Napolitano (Democrat),Janet Napolitano (Democrat),Janet Napolitano (Democrat),Jan Brewer (Republican),Jan Brewer (Republican),Jan Brewer (Republican),Jan Brewer (Republican),Jan Brewer (Republican),Jan Brewer (Republican),Doug Ducey (Republican),Doug Ducey (Republican),Doug Ducey (Republican),Doug Ducey (Republican),Doug Ducey (Republican),Doug Ducey (Republican),Doug Ducey (Republican),Doug Ducey (Republican),,
Ohio,Bob Taft (Republican),Bob Taft (Republican),Bob Taft (Republican),Bob Taft (Republican),Bob Taft (Republican),Bob Taft (Republican),Bob Taft (Republican),Ted Strickland (Democrat),Ted Strickland (Democrat),Ted Strickland (Democrat),Ted Strickland (Democrat),John Kasich (Republican),John Kasich (Republican),John Kasich (Republican),John Kasich (Republican),John Kasich (Republican),John Kasich (Republican),John Kasich (Republican),John Kasich (Republican),Mike DeWine (Republican),Mike DeWine (Republican),Mike DeWine (Republican),Mike DeWine (Republican),,
Nebraska,Mike Johanns (Republican),Mike Johanns (Republican),Mike Johanns (Republican),Mike Johanns (Republican),Mike Johanns (Republican),Dave Heineman (Republican),Dave Heineman (Republican),Dave Heineman (Republican),Dave Heineman (Republican),Dave Heineman (Republican),Dave Heineman (Republican),Dave Heineman (Republican),Dave Heineman (Republican),Dave Heineman (Republican),Dave Heineman (Republican),Pete Ricketts (Republican),Pete Ricketts (Republican),Pete Ricketts (Republican),Pete Ricketts (Republican),Pete Ricketts (Republican),Pete Ricketts (Republican),Pete Ricketts (Republican),Pete Ricketts (Republican),,
Colorado,Bill Owens (Republican),Bill Owens (Republican),Bill Owens (Republican),Bill Owens (Republican),Bill Owens (Republican),Bill Owens (Republican),Bill Owens (Republican),Bill Ritter (Democrat),Bill Ritter (Democrat),Bill Ritter (Democrat),Bill Ritter (Democrat),John Hickenlooper (Democrat),John Hickenlooper (Democrat),John Hickenlooper (Democrat),John Hickenlooper (Democrat),John Hickenlooper (Democrat),John Hickenlooper (Democrat),John Hickenlooper (Democrat),John Hickenlooper (Democrat),Jared Polis (Democrat),Jared Polis (Democrat),Jared Polis (Democrat),Jared Polis (Democrat),,
North Carolina,Mike Easley (Democrat),Mike Easley (Democrat),Mike Easley (Democrat),Mike Easley (Democrat),Mike Easley (Democrat),Mike Easley (Democrat),Mike Easley (Democrat),Mike Easley (Democrat),Mike Easley (Democrat),Beverly Perdue (Democrat),Beverly Perdue (Democrat),Beverly Perdue (Democrat),Beverly Perdue (Democrat),Pat McCrory (Republican),Pat McCrory (Republican),Pat McCrory (Republican),Pat McCrory (Republican),Roy Cooper (Democrat),Roy Cooper (Democrat),Roy Cooper (Democrat),Roy Cooper (Democrat),Roy Cooper (Democrat),Roy Cooper (Democrat),,
Minnesota,Jesse Ventura (Independence Party),Jesse Ventura (Independence Party),Jesse Ventura (Independence Party),Tim Pawlenty (Republican),Tim Pawlenty (Republican),Tim Pawlenty (Republican),Tim Pawlenty (Republican),Tim Pawlenty (Republican),Tim Pawlenty (Republican),Tim Pawlenty (Republican),Tim Pawlenty (Republican),Mark Dayton (Democrat),Mark Dayton (Democrat),Mark Dayton (Democrat),Mark Dayton (Democrat),Mark Dayton (Democrat),Mark Dayton (Democrat),Mark Dayton (Democrat),Mark Dayton (Democrat),Tim Walz (Democrat),Tim Walz (Democrat),Tim Walz (Democrat),Tim Walz (Democrat),,
